review,rating,date,bank,source,sentiment_label,sentiment_score,theme
dashen super app is secure band very easy,5,2025-04-29,Dashen,Google Play,POSITIVE,0.9899651408195496,UI/UX
It is very fast and secured mobile banking app! I like this app!,5,2025-04-29,Dashen,Google Play,POSITIVE,0.9995939135551453,UI/UX
best app I have ever seen,5,2025-04-29,Dashen,Google Play,POSITIVE,0.9996102452278137,UI/UX
best of best,5,2025-04-29,Dashen,Google Play,POSITIVE,0.9997496008872986,Other
waw,5,2025-04-28,Dashen,Google Play,NEGATIVE,0.7346174120903015,Other
best app,5,2025-04-28,Dashen,Google Play,POSITIVE,0.999686598777771,UI/UX
Its slow when i try to see the Recent Transaction and stucked,1,2025-04-28,Dashen,Google Play,NEGATIVE,0.9992387294769287,"Transactions, Performance"
wowslnwoooo wowwww amazing !!!!!!!!,5,2025-04-28,Dashen,Google Play,POSITIVE,0.9997221827507019,Other
wow appl,5,2025-04-28,Dashen,Google Play,POSITIVE,0.9994691014289856,UI/UX
why do i have to change a pin number i use my finger print so dummy,1,2025-04-27,Dashen,Google Play,NEGATIVE,0.9994646906852722,UI/UX
very nice,5,2025-04-26,Dashen,Google Play,POSITIVE,0.9998563528060913,Other
great,4,2025-04-26,Dashen,Google Play,POSITIVE,0.9998630285263062,Other
"It is very slow and it lacks many features to be a super app. High rating is given by their employees, not by the customers.",1,2025-04-25,Dashen,Google Play,NEGATIVE,0.9997708201408386,"UI/UX, Performance"
"Smooth and secure experience transfers, bill payments, and tracking expenses are all effortless. The intuitive design makes banking on the go.",5,2025-04-24,Dashen,Google Play,POSITIVE,0.9996446371078491,"Transactions, UI/UX"
Very easy and Fast.,5,2025-04-24,Dashen,Google Play,POSITIVE,0.9995487332344055,Other
Incomparably user-friendly and fast app for mobile banking.,5,2025-04-24,Dashen,Google Play,NEGATIVE,0.9392756819725037,UI/UX
"there is nothing super about this app, repeatedly failed transaction and wastes customer valuable time. if you have to do system upgrade do it at a time when there is less traffic demand. your Technical difficulty should not be reflected on customer.",2,2025-04-24,Dashen,Google Play,NEGATIVE,0.9993688464164734,"Transactions, UI/UX"
execellent,5,2025-04-24,Dashen,Google Play,NEGATIVE,0.9866806864738464,Other
"This super app is a total game-changer—fast, reliable, and packed with everything I need in one place. It’s seamless and super convenient. Love it!""",5,2025-04-23,Dashen,Google Play,POSITIVE,0.9998038411140442,UI/UX
All in One ✍️secure ✍️reliable ✍️convenient. Digital banking game changer!!,5,2025-04-23,Dashen,Google Play,NEGATIVE,0.7598538994789124,Other
it is incredible product.,5,2025-04-23,Dashen,Google Play,POSITIVE,0.9998867511749268,Other
"I'm really impressed with this app! It’s user-friendly, runs smoothly, and has all the features I need. Makes my tasks so much easier and saves me a lot of time. Highly recommended!",5,2025-04-23,Dashen,Google Play,POSITIVE,0.9997783303260803,UI/UX
best app,5,2025-04-23,Dashen,Google Play,POSITIVE,0.999686598777771,UI/UX
ok,5,2025-04-23,Dashen,Google Play,POSITIVE,0.9997851252555847,Other
"It's an amazing app, experience it!!",5,2025-04-23,Dashen,Google Play,POSITIVE,0.9998760223388672,UI/UX
This is the best banking app ever. I recommend everyone to use it.,5,2025-04-23,Dashen,Google Play,POSITIVE,0.9997599720954895,UI/UX
It is the best application!!!,5,2025-04-22,Dashen,Google Play,POSITIVE,0.9998468160629272,UI/UX
"Exceptional digital experience, SupperApp will bring new paradigm shift in the banking business. Bravo Dashen keep it up!!!!",5,2025-04-22,Dashen,Google Play,POSITIVE,0.9998323917388916,UI/UX
its features are so dynamic,5,2025-04-22,Dashen,Google Play,POSITIVE,0.999643087387085,Other
fast &Friendly user Application.,5,2025-04-22,Dashen,Google Play,POSITIVE,0.9993237257003784,UI/UX
"Fast, Reliable and User Friendly. Keep it Up",5,2025-04-22,Dashen,Google Play,POSITIVE,0.9997664093971252,UI/UX
"#dashen super app is easy to use, secure & fast transaction😍",5,2025-04-22,Dashen,Google Play,POSITIVE,0.9874821901321411,"Transactions, UI/UX"
i love this app esp 3 click that make e-commerce easier and convinient.,5,2025-04-22,Dashen,Google Play,POSITIVE,0.9995126724243164,UI/UX
Dashen Super App contains extended selections for customers and can be easily accessible and also friendly to use.,5,2025-04-22,Dashen,Google Play,POSITIVE,0.9990369081497192,"Account Access, UI/UX"
Great for everyday banking and payments on the go,5,2025-04-22,Dashen,Google Play,POSITIVE,0.9998255372047424,Transactions
"""Dashen Super App'' is impressive with its focus on simplicity, speed, and quality. The user interface is clean and easy to understand. Transactions process quickly, and the overall quality of the app is top-notch. A must-have for Dashen Bank customers. ዳሸን ባንክ አንድ እርምጃ ቀዳሚ።",5,2025-04-22,Dashen,Google Play,POSITIVE,0.9997794032096863,"Transactions, UI/UX"
making transactions has never been easier. the new update is just amazing,5,2025-04-22,Dashen,Google Play,POSITIVE,0.9998310804367065,Transactions
"The app has various usefull functions, which make easy the payment system. Also, it will connect with sellers having reasonable prices.",5,2025-04-22,Dashen,Google Play,POSITIVE,0.9850903749465942,"Transactions, UI/UX"
The app has great user interface with comprehensive payments and E-commerce platforms. And also it includes unique features such as chat Banking and budget.,5,2025-04-22,Dashen,Google Play,POSITIVE,0.999284565448761,"Transactions, UI/UX"
betam mirt Ena betam le atikakem kelel Yale Ena michu application nw,5,2025-04-22,Dashen,Google Play,NEGATIVE,0.9886249303817749,UI/UX
Convenient!,5,2025-04-22,Dashen,Google Play,POSITIVE,0.9936902523040771,Other
It is an amazing application that meets the needs of customers.,5,2025-04-22,Dashen,Google Play,POSITIVE,0.999864935874939,UI/UX
Effecting payment via the app has created convenience to the recipients in easily confirming the payments received!,5,2025-04-22,Dashen,Google Play,POSITIVE,0.9731149673461914,"Transactions, UI/UX"
the best Supper App ever,5,2025-04-22,Dashen,Google Play,POSITIVE,0.999849796295166,UI/UX
"This is the best app ever, when is it planned to include digital lending and gasification?",5,2025-04-22,Dashen,Google Play,POSITIVE,0.9990382194519043,UI/UX
"A powerful, local solution that rivals any global app. I love how easy it is to explore services and products.",5,2025-04-22,Dashen,Google Play,POSITIVE,0.999815046787262,"UI/UX, Customer Support"
Dashen bank is my number one choice,5,2025-04-22,Dashen,Google Play,POSITIVE,0.9996331930160522,Other
Assefa Genetu = Dashen superup is the latest and inclussive .I am happy with this super up.,5,2025-04-22,Dashen,Google Play,POSITIVE,0.9994714856147766,UI/UX
"The App is incredibly user-friendly and brings multiple services into one place. It's fast, intuitive, and makes daily tasks super convenient. A true all-in-one solution!",5,2025-04-21,Dashen,Google Play,POSITIVE,0.9991614818572998,"UI/UX, Customer Support"
"Proudly made in Ethiopia, this innovation delivers more than promised. The marketplace is a major boost for local commerce",5,2025-04-21,Dashen,Google Play,POSITIVE,0.9998248219490051,Other
it so fanrastic and user friendly app. Bravo Dashen bank thanks.,5,2025-04-21,Dashen,Google Play,POSITIVE,0.9990429282188416,UI/UX
"one of the best digital platforms I've used! from smooth transactions to a seamless shopping experience, highly recommended.",5,2025-04-21,Dashen,Google Play,POSITIVE,0.9997945427894592,"Transactions, UI/UX"
A proudly Ethiopia innovation that delivers beyond expectations. The marketplace feature is a big win for local shoppers bnd sellers,5,2025-04-21,Dashen,Google Play,POSITIVE,0.9997891783714294,Other
"Dashen Super App is a game-changer! It’s fast, user-friendly, and packed with features that make everyday banking and transactions super convenient. I love how everything I need from mobile banking to utility payments is all in one place. The interface is clean, and everything works smoothly. Definitely one of the best apps out there. Highly recommended!",5,2025-04-21,Dashen,Google Play,POSITIVE,0.9998010993003845,"Transactions, UI/UX"
Easy to use and has many options. It is the best financial app I have ever used.,5,2025-04-21,Dashen,Google Play,POSITIVE,0.9997546076774597,UI/UX
"Highly impressed! Dash Bank really nailed it with this app. Secure, reliable, and packed with features I use daily",5,2025-04-21,Dashen,Google Play,POSITIVE,0.9998537302017212,UI/UX
"One of the best digital platforms I’ve used! From smooth transactions to a seamless shopping experience, Highly recommended",5,2025-04-21,Dashen,Google Play,POSITIVE,0.9997860789299011,"Transactions, UI/UX"
"This app has everything I was looking for, dashen is becoming a grandmaster.",5,2025-04-21,Dashen,Google Play,POSITIVE,0.9995651841163635,UI/UX
Very convenient,5,2025-04-21,Dashen,Google Play,POSITIVE,0.9988445043563843,Other
"The user experience is seamless, and everything just works perfectly right out of the box. I can’t believe how much time and effort it saves me every day.",5,2025-04-21,Dashen,Google Play,POSITIVE,0.9997797608375549,UI/UX
wawwwww what nice super app !!keep it up dashen bank !!,5,2025-04-21,Dashen,Google Play,POSITIVE,0.9991359114646912,UI/UX
"Dashen SuperApp the ultimate all-in-one solution! From banking and shopping to bill payments, everything you need is right at your fingertips. Life just got a whole lot easier!",5,2025-04-21,Dashen,Google Play,POSITIVE,0.9991750121116638,"Transactions, UI/UX"
"It is,really super because of its unique offerings to individuals and businesses.It is a secure UX first app intended to cater comprehensive digital meeds.I am also happy to know that Dashen is considering to make the app more inclusive by lowering the mobile version requirements .",5,2025-04-21,Dashen,Google Play,POSITIVE,0.9995538592338562,UI/UX
"the very easy, secured, fast and multifunctional dashen supper application I ever seen. dashen really one steps ahead!!!",5,2025-04-21,Dashen,Google Play,POSITIVE,0.9982724189758301,UI/UX
"One app for everything! I can shop, manage my bank account , and do so much more . Truly a super app",5,2025-04-21,Dashen,Google Play,POSITIVE,0.9994187355041504,"Account Access, UI/UX"
one of the best digital platforms I’ve used! From smooth transactions to a seamless shopping experie,5,2025-04-21,Dashen,Google Play,POSITIVE,0.9995588660240173,"Transactions, UI/UX"
"Dashen Bank super App is the most suitable, reliable, and fast digital banking system.",5,2025-04-21,Dashen,Google Play,POSITIVE,0.9992392063140869,UI/UX
Excellent app.,5,2025-04-21,Dashen,Google Play,POSITIVE,0.9998461008071899,UI/UX
This is what we call banking app. As professional I want banking app as simple as this and an app rich of features that align with my lifestyle.,5,2025-04-21,Dashen,Google Play,POSITIVE,0.9991500377655029,UI/UX
thanks again,5,2025-04-21,Dashen,Google Play,POSITIVE,0.9998217225074768,Other
Super Easy To Use and Fast Transaction.,5,2025-04-21,Dashen,Google Play,POSITIVE,0.996877908706665,"Transactions, UI/UX"
"I have an incredible experience with Dashen super app, what an amazing platform is it?. keep pioneering in technological advancement 👏👏👏",5,2025-04-21,Dashen,Google Play,POSITIVE,0.999527096748352,UI/UX
"i can't recommend the Dashen Super App enough! This app is truly a game changer for anyone looking for a seamless and efficient way to manage their daily life. It combines multiple essential services into one easy-to-use platform, saving time and simplifying tasks The user interface is modern, intuitive, and super responsive, making navigation a breeze. Whether it's banking, payment services, or accessing lifestyle features, everything is just a few clicks away!!",5,2025-04-21,Dashen,Google Play,POSITIVE,0.9953939914703369,"Account Access, Transactions, UI/UX, Customer Support"
"The app is incredibly handy for managing multiple financial tasks, from bill payments to managing budgets. It’s saved me a lot of time and made banking way more convenient. Definitely worth checking out!",5,2025-04-21,Dashen,Google Play,POSITIVE,0.9982413053512573,"Transactions, UI/UX"
what an App,5,2025-04-21,Dashen,Google Play,POSITIVE,0.9938238859176636,UI/UX
The new e-commerce feature is incredibly amazing and user friendly.,5,2025-04-21,Dashen,Google Play,POSITIVE,0.9998598098754883,UI/UX
"dashen bank supper app is the most easy to use and have high speed,quality and I like features like chat,budget,fuel payment, and security for my opinion this product is techonolgy edge,this international standard thanks for product oweners (dashen bank)",3,2025-04-21,Dashen,Google Play,POSITIVE,0.9974797368049622,"Transactions, UI/UX"
"The Dashen supperapp is a revolutionary advancement in digital banking, combining exceptional usability, an intuitive interface and a seamless user experience. among its standout features are the integration of QR codes, account statement, transaction advise, chat, transaction authentication for limit thresholds, budgeting and different app in a single dashboard. Truly ahead of the curve ..... keep up the excellent work 🤝👏",5,2025-04-21,Dashen,Google Play,POSITIVE,0.9997472167015076,"Account Access, Transactions, UI/UX"
"A proudly Ethiopian innovation that delivers beyond expectations. The marketplace feature is a big win for local shoppers and sellers. Very impressed with the new updates, The e-commerce section is smooth and supports Ethiopian merchants!",5,2025-04-21,Dashen,Google Play,POSITIVE,0.9998795986175537,Customer Support
"Very impressed with the new updates, The e-commerce section is smooth and supports Ethiopian merchants.",5,2025-04-21,Dashen,Google Play,POSITIVE,0.9998557567596436,Customer Support
"Dashen Bank Super App is fast, reliable, and super easy to use. All my banking needs are handled smoothly in one place. Clean design and seamless experience – highly recommended!",5,2025-04-21,Dashen,Google Play,POSITIVE,0.9997962117195129,UI/UX
"Db sup app is A platform or an application that can grasp more satisfactions through fastest mode of operation which means for budget planning, to use QR code(scan, pay, go) chat with staff, acc to acc other bank ft, merchant payment, and easly. I addition to i satisfied and i invite everyone to use those platform!!.",5,2025-04-21,Dashen,Google Play,POSITIVE,0.8947901129722595,"Transactions, UI/UX"
the chat banking and unique and only app that alow money request!!,5,2025-04-21,Dashen,Google Play,NEGATIVE,0.9822685718536377,UI/UX
Better and inclusive app!,5,2025-04-21,Dashen,Google Play,POSITIVE,0.999285876750946,UI/UX
Amazing Application,5,2025-04-21,Dashen,Google Play,POSITIVE,0.9998698234558105,UI/UX
It keep my time to pay my bills and I generate my satment easily,5,2025-04-21,Dashen,Google Play,POSITIVE,0.996675968170166,Other
"It's an amazing app that is up-to-date with the times, wow wow",5,2025-04-21,Dashen,Google Play,POSITIVE,0.9998683929443359,UI/UX
A game-changing Ethiopian innovation—where shopping meets opportunity. The marketplace feature connects buyers and sellers like never before.,5,2025-04-21,Dashen,Google Play,POSITIVE,0.9993858337402344,Other
"Dashen Super App isn’t just an app — it’s an experience. Effortless, powerful, and built for the future",5,2025-04-21,Dashen,Google Play,POSITIVE,0.9997283816337585,UI/UX
"This Is An Amazing App with Uniqe Quality,Easy And Fast Mobile Banking App.",5,2025-04-21,Dashen,Google Play,POSITIVE,0.9997382760047913,UI/UX
"Dashen SuperApp is a lifesaver! Banking, shopping, and bills in one super easy app. The new e-commerce feature is awesome and supports local merchants. Fast, secure, and proudly Ethiopian.Download it now—you won’t regret it!",5,2025-04-21,Dashen,Google Play,POSITIVE,0.9996484518051147,"UI/UX, Customer Support"
"Dashen SuperApp blends finance, shopping, and daily services effortlessly. The new e-commerce feature is smooth and supports local merchants—proud to back an Ethiopian-made solution!",5,2025-04-21,Dashen,Google Play,POSITIVE,0.9998247027397156,"UI/UX, Customer Support"
"A solid step forward by Dashen Bank. The SuperApp combines essential banking features with lifestyle services, making everything accessible in one place. The interface is smooth, and transactions are quick and reliable. It’s clear a lot of thought went into the design and functionality. Great job!",5,2025-04-21,Dashen,Google Play,POSITIVE,0.9998260140419006,"Account Access, Transactions, UI/UX, Customer Support"
Dashen bank super app is the crucial and convenient app in Ethiopia. there is no other app to compare with Dashen bank super app,5,2025-04-21,Dashen,Google Play,POSITIVE,0.9817668795585632,UI/UX
"All-in-one finance & e-commerce super app! Pay, save, shop seamlessly. Fast, secure. #BankAndShop",5,2025-04-21,Dashen,Google Play,POSITIVE,0.9943593144416809,UI/UX
it's a hestorical app. in the bank industry.,5,2025-04-21,Dashen,Google Play,NEGATIVE,0.9915915727615356,UI/UX
"A game changer in Ethiopian digital banking fast, secure, and packed with services. Everything you need, all in one powerful app. A true leap toward financial convenience and innovation!",4,2025-04-21,Dashen,Google Play,POSITIVE,0.9996839761734009,"UI/UX, Customer Support"
"easy &,simple to use",5,2025-04-21,Dashen,Google Play,POSITIVE,0.9968307614326477,UI/UX
"Banking, but make it smart. Local solutions, all in one place. Smooth, fast, and actually saving time. Feels like the future. Love it!",5,2025-04-21,Dashen,Google Play,POSITIVE,0.9998811483383179,Other
"All in one, that is it 👌",5,2025-04-21,Dashen,Google Play,POSITIVE,0.8945449590682983,Other
", Dashen Bank Supper App is multipurpose, convenient, very attractive and Make life easier",5,2025-04-21,Dashen,Google Play,POSITIVE,0.9995104074478149,UI/UX
very easy and flexible app.,5,2025-04-21,Dashen,Google Play,POSITIVE,0.9997106194496155,UI/UX
"I choose Dashen Bank Super Up since, it is easy to use & it has attractive features !",5,2025-04-21,Dashen,Google Play,POSITIVE,0.9998281002044678,UI/UX
dashen super app is simple faster and reliable.,5,2025-04-21,Dashen,Google Play,POSITIVE,0.999518632888794,UI/UX
"Dashen Bank Super App is a game-changer! The user-friendly design, wide range of services, and smooth performance make it incredibly convenient for everyday banking. It’s fast, secure, and truly reflects the bank’s commitment to digital excellence. Highly recommended!",5,2025-04-21,Dashen,Google Play,POSITIVE,0.999748170375824,"UI/UX, Customer Support"
"The app keeps getting better with every update! Smooth performance, great UI, and top-notch security. Thank you for making banking so convenient!""",5,2025-04-21,Dashen,Google Play,POSITIVE,0.9995062351226807,UI/UX
this app is the most simply to use and secure safe i love it to use for any bank transaction,5,2025-04-21,Dashen,Google Play,POSITIVE,0.9964408278465271,"Transactions, UI/UX"
"After i download the app recently had a smooth expriance, its user friendly, fast, and everything works as expected. keep up the good work.",5,2025-04-21,Dashen,Google Play,POSITIVE,0.9997468590736389,UI/UX
An app with High performance and advanced features!,5,2025-04-21,Dashen,Google Play,POSITIVE,0.9995831847190857,UI/UX
"It is a very user friendly, attractive user interface, full of useful features. I really encourage everyone to give it a try.",5,2025-04-21,Dashen,Google Play,POSITIVE,0.9997954964637756,UI/UX
"Good actually , but it have to WORK when developer option is on 🙏",5,2025-04-21,Dashen,Google Play,NEGATIVE,0.9746389389038086,Other
"All-in-one convenience, From managing accounts to paying bills and shopping online and the chat banking is game changer, this app does it all seamlessly.",5,2025-04-21,Dashen,Google Play,POSITIVE,0.9981800317764282,"Account Access, UI/UX"
I appreciate that Dashen Bank takes lifestyle services into account.,5,2025-04-21,Dashen,Google Play,POSITIVE,0.9980393052101135,"Account Access, UI/UX, Customer Support"
keep it up!,5,2025-04-21,Dashen,Google Play,POSITIVE,0.9998477697372437,Other
amazing app really i loved it .that's why we say dashen bank is one stap ahead. It's the best mobile application that should be on every phone.,5,2025-04-21,Dashen,Google Play,POSITIVE,0.9998038411140442,UI/UX
very comfortable app keep it,5,2025-04-21,Dashen,Google Play,POSITIVE,0.999691367149353,UI/UX
it has clear detail information about the application so it helps customer how to use the app. and it is very easy to use and also app is secure.,5,2025-04-21,Dashen,Google Play,POSITIVE,0.999531626701355,"UI/UX, Customer Support"
"I have been using the Dashen Supper app mobile banking app , and overall, I appreciate its features.However,I’ve noticed that when I turn on the developer options on my device, the app stops functioning properly. It would be great if you could look into this issue, as I often need to access developer settings for other applications . Thank you for your attention to this matter!",5,2025-04-21,Dashen,Google Play,NEGATIVE,0.9068740606307983,"Account Access, UI/UX"
easiness to use with fast response time,5,2025-04-21,Dashen,Google Play,NEGATIVE,0.964725911617279,"UI/UX, Customer Support"
"The new mobile banking application is a major upgrade! It’s incredibly user-friendly, with a clean and modern design that makes navigation simple and intuitive. I really appreciate how fast it loads and how smooth the overall experience is. All essential services like balance checks, transfers, and bill payments are eas y to find and use. The added security features give me peace of mind, and the app runs reliably without crashes or glitches. It’s clear a lot of thought went into the user experi",5,2025-04-21,Dashen,Google Play,POSITIVE,0.9992745518684387,"Transactions, UI/UX, Customer Support, Performance"
